Dataset,Tissue,Cell Type,GENE,log2FC,P Value
Hoehn KB. (B cells),Blood,Memory B cells,H3F3B,-2.07362751638897,0.0
Hoehn KB. (B cells),Blood,Memory B cells,MT-ND3,2.12963099893879,1.2778162e-316
Hoehn KB. (B cells),Blood,Memory B cells,H1FX,-0.963421908270408,1.76276739430086e-201
Hoehn KB. (B cells),Blood,Memory B cells,BTG1,-0.960955654719792,1.36279865224153e-157
Hoehn KB. (B cells),Blood,Memory B cells,DDX5,1.06737221597707,1.50807028942441e-149
Hoehn KB. (B cells),Blood,Memory B cells,AHNAK,1.25229365574061,2.19746699554638e-133
Hoehn KB. (B cells),Blood,Memory B cells,HIST1H1E,-0.869626536070562,3.72169944254811e-126
Hoehn KB. (B cells),Blood,Memory B cells,SMAP2,-1.00403140823218,3.46836918937364e-117
Hoehn KB. (B cells),Blood,Memory B cells,XIST,1.37482807758112,1.69176570157526e-95
Hoehn KB. (B cells),Blood,Memory B cells,ARIH1,-1.20663837044503,4.0230518520888e-93
Hoehn KB. (B cells),Blood,Memory B cells,DDX21,0.952621937673844,3.90812282588656e-77
Hoehn KB. (B cells),Blood,Memory B cells,FAM3C,-0.966348649616474,5.59932622344444e-70
Hoehn KB. (B cells),Blood,Memory B cells,SF1,0.961396726231493,1.38101791008312e-69
Hoehn KB. (B cells),Blood,Memory B cells,MT-ND6,0.783776643135092,2.89369256583282e-69
Hoehn KB. (B cells),Blood,Memory B cells,NFKB1,0.88389570268898,6.09812521666329e-69
Hoehn KB. (B cells),Blood,Memory B cells,MBNL2,0.899885001324176,2.39814294703506e-68
Hoehn KB. (B cells),Blood,Memory B cells,JUND,0.896657844185941,7.2593387460985e-65
Hoehn KB. (B cells),Blood,Memory B cells,GNA13,-0.87680161631268,4.17780160059023e-60
Hoehn KB. (B cells),Blood,Memory B cells,UBE2A,-0.773656310128172,1.48687619694838e-56
Hoehn KB. (B cells),Blood,Memory B cells,SREK1,0.764090568131449,3.17024037154833e-56
Hoehn KB. (B cells),Blood,Memory B cells,DDX3X,0.813735187841817,1.30598798270355e-54
Hoehn KB. (B cells),Blood,Memory B cells,RPGR,0.804744670798366,5.9621948692456e-54
Hoehn KB. (B cells),Blood,Memory B cells,PCM1,0.771419393681997,1.65993931265243e-53
Hoehn KB. (B cells),Blood,Memory B cells,GLS,-0.772574193246506,9.80458506130266e-47
Hoehn KB. (B cells),Blood,Memory B cells,PELI1,-0.924910998524516,2.21622130265125e-46
Hoehn KB. (B cells),Blood,Memory B cells,SLC2A3,-0.825793694665324,1.56343806464099e-41
Hoehn KB. (B cells),Blood,Memory B cells,SNX9,-0.788729605342994,2.92689673091787e-39
Hoehn KB. (B cells),Blood,Memory B cells,GPCPD1,-0.77443697238283,9.82838621841492e-36
Hoehn KB. (B cells),Blood,Monocytes,H3F3B,-3.30127927827009,1.9285800270011e-233
Hoehn KB. (B cells),Blood,Monocytes,H1FX,-6.49211554359507,7.16149006143304e-200
Hoehn KB. (B cells),Blood,Monocytes,LYZ,11.0638378375612,3.54082609863916e-91
Hoehn KB. (B cells),Blood,Monocytes,IFI30,7.44203800182769,4.60542590746594e-89
Hoehn KB. (B cells),Blood,Monocytes,S100A8,8.35456007291525,1.66838886146586e-88
Hoehn KB. (B cells),Blood,Monocytes,S100A9,7.47542346472267,2.09209779785981e-82
Hoehn KB. (B cells),Blood,Monocytes,FCN1,6.92922787029451,1.05817073169592e-80
Hoehn KB. (B cells),Blood,Monocytes,H1F0,-6.54672268852338,1.57968824538703e-75
Hoehn KB. (B cells),Blood,Monocytes,TYROBP,7.26154383145967,1.64094168688119e-75
Hoehn KB. (B cells),Blood,Monocytes,S100A6,6.86668151709762,1.21262190206643e-72
Hoehn KB. (B cells),Blood,Monocytes,S100A11,5.27331753181977,9.89318138406565e-70
Hoehn KB. (B cells),Blood,Monocytes,CSTA,4.70924096996804,2.59748151864614e-68
Hoehn KB. (B cells),Blood,Monocytes,S100A12,4.85148320620223,3.0665295634324e-67
Hoehn KB. (B cells),Blood,Monocytes,FCER1G,5.03929105339108,1.36982322008659e-63
Hoehn KB. (B cells),Blood,Monocytes,CST3,10.6820843532841,1.64481811279463e-63
Hoehn KB. (B cells),Blood,Monocytes,CFD,4.66757675527231,1.88350871771803e-63
Hoehn KB. (B cells),Blood,Monocytes,TNFAIP2,4.55191106275257,3.1941038524348e-62
Hoehn KB. (B cells),Blood,Monocytes,SNHG29,-2.96546850725385,4.37573352741371e-62
Hoehn KB. (B cells),Blood,Monocytes,S100A10,4.01211491917278,1.37709909438856e-60
Hoehn KB. (B cells),Blood,Monocytes,SERPINA1,4.72026616596213,1.89171958769805e-60
Hoehn KB. (B cells),Blood,Monocytes,MAFB,4.30561719564334,1.07803719600651e-58
Hoehn KB. (B cells),Blood,Monocytes,CDK6,-2.38866428581182,3.98498300769898e-58
Hoehn KB. (B cells),Blood,Monocytes,GIHCG,-4.11511171820244,3.75488972954892e-57
Hoehn KB. (B cells),Blood,Monocytes,SOX4,-4.90298832582005,3.79106364789249e-57
Hoehn KB. (B cells),Blood,Monocytes,LDHB,-2.35473564107467,2.60441289187208e-56
Hoehn KB. (B cells),Blood,Monocytes,VCAN,3.92514184002879,8.99437075937609e-56
Hoehn KB. (B cells),Blood,Monocytes,BEX3,-2.57679674543697,5.64989872896362e-53
Hoehn KB. (B cells),Blood,Monocytes,PRSS57,-4.09775418154384,1.98968656267765e-50
Hoehn KB. (B cells),Blood,Monocytes,CD14,3.54437907710209,4.08636682710971e-50
Hoehn KB. (B cells),Blood,Monocytes,SERPINB1,-4.29052329554451,1.09764064629084e-46
Hoehn KB. (B cells),Blood,Monocytes,G0S2,4.15182300995611,4.96770386685528e-45
Hoehn KB. (B cells),Blood,Monocytes,PLAUR,4.03552185641332,2.14542959639353e-42
Hoehn KB. (B cells),Blood,Monocytes,S100A4,4.59417620718139,1.79479489451633e-39
Hoehn KB. (B cells),Blood,Monocytes,SMIM24,-2.8096327656342,1.09342245995995e-34
Hoehn KB. (B cells),Blood,Monocytes,CYTL1,-2.98113734325699,3.97528586957268e-32
Hoehn KB. (B cells),Blood,Monocytes,GATA2,-2.77996695514303,1.59220845831497e-31
Hoehn KB. (B cells),Blood,Monocytes,NFE2,-2.00774063120971,5.32405357795912e-30
Hoehn KB. (B cells),Blood,Monocytes,EGFL7,-2.21343277095782,7.32834387331782e-25
Hoehn KB. (B cells),Blood,Monocytes,FCER1A,-2.82210580544652,7.43254089869767e-25
Hoehn KB. (B cells),Blood,Monocytes,CPVL,3.66367925579795,1.04656710440115e-24
Hoehn KB. (B cells),Blood,Monocytes,CPA3,-2.19207120057745,3.56783833602844e-23
Hoehn KB. (B cells),Blood,Monocytes,SLC40A1,-2.16507794951852,7.17942689182799e-22
Hoehn KB. (B cells),Blood,Monocytes,CRHBP,-2.0713269161421,3.35789634791599e-21
Hoehn KB. (B cells),Blood,Monocytes,AL157895.1,-2.554091959543,3.50093458117564e-21
Hoehn KB. (B cells),Blood,Monocytes,TPSAB1,-2.40116716209961,3.68102721355002e-17
Hoehn KB. (B cells),Blood,Monocytes,HSPA5,-2.00746867741849,1.20543837496362e-13
Hoehn KB. (B cells),Blood,Naive B cells,AHNAK,0.71096296318685,0.0
Hoehn KB. (B cells),Blood,Naive B cells,BTG1,-1.38795536072421,0.0
Hoehn KB. (B cells),Blood,Naive B cells,CFAP20,0.572299323186266,0.0
Hoehn KB. (B cells),Blood,Naive B cells,DDX5,0.870004669481579,0.0
Hoehn KB. (B cells),Blood,Naive B cells,EEF2,1.09798042813996,0.0
Hoehn KB. (B cells),Blood,Naive B cells,FTH1,-0.838374257641309,0.0
Hoehn KB. (B cells),Blood,Naive B cells,H1FX,-2.88428551820769,0.0
Hoehn KB. (B cells),Blood,Naive B cells,H3F3B,-2.29398260375124,0.0
Hoehn KB. (B cells),Blood,Naive B cells,HIST1H1C,-1.01904330216705,0.0
Hoehn KB. (B cells),Blood,Naive B cells,HIST1H1D,-0.784448781675416,0.0
Hoehn KB. (B cells),Blood,Naive B cells,HIST1H1E,-0.792668225152068,0.0
Hoehn KB. (B cells),Blood,Naive B cells,HLA-DRA,-0.740867078834346,0.0
Hoehn KB. (B cells),Blood,Naive B cells,JUND,0.858710750896472,0.0
Hoehn KB. (B cells),Blood,Naive B cells,KLF2,-0.881749814917297,0.0
Hoehn KB. (B cells),Blood,Naive B cells,LINC01578,-0.656405394075592,0.0
Hoehn KB. (B cells),Blood,Naive B cells,LY9,-0.66466051278125,0.0
Hoehn KB. (B cells),Blood,Naive B cells,MT-ND3,1.07917509129281,0.0
Hoehn KB. (B cells),Blood,Naive B cells,PPP1R15A,0.874987044231897,0.0
Hoehn KB. (B cells),Blood,Naive B cells,RPL10,-0.673127114557489,0.0
Hoehn KB. (B cells),Blood,Naive B cells,RPL34,0.632933150120506,0.0
Hoehn KB. (B cells),Blood,Naive B cells,RPL39,1.21787221691449,0.0
Hoehn KB. (B cells),Blood,Naive B cells,RPS26,0.640395748627944,0.0
Hoehn KB. (B cells),Blood,Naive B cells,RPS27,1.80558284789454,0.0
Hoehn KB. (B cells),Blood,Naive B cells,RPS28,0.987637364284635,0.0
Hoehn KB. (B cells),Blood,Naive B cells,RPS29,1.80619278338526,0.0
Hoehn KB. (B cells),Blood,Naive B cells,SMAP2,-1.06402689323538,0.0
Hoehn KB. (B cells),Blood,Naive B cells,STK17A,-0.666689013364761,0.0
Hoehn KB. (B cells),Blood,Naive B cells,MEF2C,0.541150706820852,1.74679763723116e-296
Hoehn KB. (B cells),Blood,Naive B cells,FOS,-0.846425450886515,6.13346814779672e-245
Hoehn KB. (B cells),Blood,Naive B cells,CRIP1,0.730221583425632,1.74269371794696e-208
Hoehn KB. (B cells),Blood,Natural killer T cells,H3F3B,-2.86164632484017,6.83231216306385e-169
Hoehn KB. (B cells),Blood,Natural killer T cells,RPS29,1.44863619456415,1.25838711427051e-167
Hoehn KB. (B cells),Blood,Natural killer T cells,RPS27,1.38942012259878,3.93550733679124e-132
Hoehn KB. (B cells),Blood,Natural killer T cells,H1FX,-2.66607707723622,4.68476599734835e-125
Hoehn KB. (B cells),Blood,Natural killer T cells,IFIT2,6.70437865894728,1.7684417681211e-92
Hoehn KB. (B cells),Blood,Natural killer T cells,IFIT3,5.75366871205387,2.14618008292971e-80
Hoehn KB. (B cells),Blood,Natural killer T cells,EFHD2,-2.08207104977028,1.16186294229856e-64
Hoehn KB. (B cells),Blood,Natural killer T cells,HIST1H1E,-1.37536482227749,5.70178025367071e-63
Hoehn KB. (B cells),Blood,Natural killer T cells,CEBPD,-2.4476147583102,1.36032960738038e-58
Hoehn KB. (B cells),Blood,Natural killer T cells,PMAIP1,2.08440556834937,4.1656744221169e-44
Hoehn KB. (B cells),Blood,Natural killer T cells,TGFB1,-1.42536884871566,3.79030231574371e-42
Hoehn KB. (B cells),Blood,Natural killer T cells,OASL,2.65792238359627,1.19637390110069e-35
Hoehn KB. (B cells),Blood,Natural killer T cells,ITGB2,1.70105224021867,8.2651474234783e-32
Hoehn KB. (B cells),Blood,Natural killer T cells,LITAF,-1.54487550749002,4.14031445637094e-29
Hoehn KB. (B cells),Blood,Natural killer T cells,NFKBIZ,1.29504546865274,3.36172281911799e-28
Hoehn KB. (B cells),Blood,Natural killer T cells,ABHD17A,-1.32235580489958,1.12056636108509e-25
Hoehn KB. (B cells),Blood,Natural killer T cells,TNF,1.69103285939114,8.50168861278512e-23
Hoehn KB. (B cells),Blood,Natural killer T cells,CD8B,1.29698555560939,2.07500056982779e-21
Hoehn KB. (B cells),Blood,Natural killer T cells,RGS3,1.42508299657753,1.53721282746554e-16
Hoehn KB. (B cells),Blood,Natural killer T cells,SPON2,-2.1946950224633,1.28716392028863e-14
Hoehn KB. (B cells),Blood,Natural killer T cells,CD8A,1.64443263541571,3.79960581182017e-14
Hoehn KB. (B cells),Blood,Natural killer T cells,KLRD1,-1.61223866828417,2.2187882156308e-13
Hoehn KB. (B cells),Blood,Natural killer T cells,CTSW,-1.64844699610728,4.31344378029059e-13
Hoehn KB. (B cells),Blood,Natural killer T cells,TTC38,-1.33578815155926,7.05945874214909e-13
Hoehn KB. (B cells),Blood,Natural killer T cells,KLRC2,1.32553641832902,1.49970167058473e-11
Hoehn KB. (B cells),Blood,Natural killer T cells,SH2D1B,-1.35658798223051,2.4796931547033e-11
Hoehn KB. (B cells),Blood,Natural killer T cells,GZMA,-1.55668848554739,5.37745668135096e-10
Hoehn KB. (B cells),Blood,Natural killer T cells,CCL5,3.17289155126549,2.96817633967336e-09
Hoehn KB. (B cells),Blood,Plasma,IGHV5-51,-6.441579219011,1.07175427852579e-25
Hoehn KB. (B cells),Blood,Plasma,H1FX,-2.46700792326675,1.24502408482159e-13
Hoehn KB. (B cells),Blood,Plasma,H3F3B,-1.22960928316783,3.52623286197473e-09
Hoehn KB. (B cells),Blood,Plasma,HIST1H1C,-0.856824064876546,5.04960371660479e-07
Hoehn KB. (B cells),Blood,Plasma,MT-ND6,1.666201383252,6.1390357611833e-07
Hoehn KB. (B cells),Blood,Plasma,GLS,-1.72134378938115,4.59298383913588e-06
Hoehn KB. (B cells),Blood,Plasma,MT-CO1,-0.87291726964185,5.41051641015146e-06
Hoehn KB. (B cells),Blood,Plasma,HIST1H1E,-1.27583607336402,1.03382587671751e-05
Hoehn KB. (B cells),Blood,Plasma,OGT,1.87828781053753,1.97879718184882e-05
Hoehn KB. (B cells),Blood,Plasma,CHAC1,3.38317068776317,0.000139014940311893
Hoehn KB. (B cells),Blood,Plasma,IGKV2-30,-2.2435566408461,0.00117267216557526
Hoehn KB. (B cells),Blood,Plasma,SEC24D,1.38271882018158,0.00193429043803034
Hoehn KB. (B cells),Blood,Plasma,IGKV1D-39,2.75515836338914,0.00235437474071347
Hoehn KB. (B cells),Blood,Plasma,HID1,3.04575160746482,0.00328833897718257
Hoehn KB. (B cells),Blood,Plasma,IGLV6-57,-4.13705465225597,0.00389002739233546
Hoehn KB. (B cells),Blood,Plasma,CD70,-0.8489063317733,0.00485512984472165
Hoehn KB. (B cells),Blood,Plasma,AC007569.1,1.57387860258404,0.00860390028994807
Hoehn KB. (B cells),Blood,Plasma,HSP90B1,-3.85249123786341,0.00876606715718103
Hoehn KB. (B cells),Blood,Plasma,IGKC,6.09436450291082,0.00936978297402749
Hoehn KB. (B cells),Blood,Plasma,IGKV1-39,3.67937370108069,0.0120187231665508
Hoehn KB. (B cells),Blood,Plasma,H1FX-AS1,-1.32537421275298,0.01499608144183
Hoehn KB. (B cells),Blood,Plasma,DERL3,2.92332081772998,0.0206278896532519
Hoehn KB. (B cells),Blood,Plasma,IGLV1-51,2.20905847075562,0.0328667372170056
Hoehn KB. (B cells),Blood,Plasma,IGHV3-30,2.89792861602581,0.0420200065471848
Hoehn KB. (B cells),Blood,Plasma,IRF4,1.43488208064981,0.0436505347432503
Hoehn KB. (B cells),Blood,T.B cells,RPS29,1.32501187103204,7.86290708743787e-42
Hoehn KB. (B cells),Blood,T.B cells,H1FX,-2.20812357509636,3.71501752240784e-39
Hoehn KB. (B cells),Blood,T.B cells,LINC01578,-1.31030649430601,4.30589879717448e-39
Hoehn KB. (B cells),Blood,T.B cells,TGFB1,-1.45936895909567,4.95300738721582e-34
Hoehn KB. (B cells),Blood,T.B cells,RPL10,-0.888566179722797,3.32805262560899e-33
Hoehn KB. (B cells),Blood,T.B cells,JUNB,1.68587195481025,1.57545527921976e-19
Hoehn KB. (B cells),Blood,T.B cells,H3F3B,-1.06042091125683,4.86344441237671e-19
Hoehn KB. (B cells),Blood,T.B cells,CD3E,3.09748037561323,8.34801539663716e-16
Hoehn KB. (B cells),Blood,T.B cells,KLRB1,-4.81208519125903,1.60163137709153e-15
Hoehn KB. (B cells),Blood,T.B cells,PCED1B-AS1,1.24293051869174,6.19138941387029e-10
Hoehn KB. (B cells),Blood,T.B cells,DUSP2,1.28239475696995,2.11446546765125e-09
Hoehn KB. (B cells),Blood,T.B cells,ERN1,-1.12601839683169,3.38447556193161e-09
Hoehn KB. (B cells),Blood,T.B cells,CD8B,2.15598032004104,5.38998138460733e-08
Hoehn KB. (B cells),Blood,T.B cells,ZFP36,1.29844545433631,1.66416812307949e-07
Hoehn KB. (B cells),Blood,T.B cells,CLEC3B,-1.55727525709076,2.28050226538617e-07
Hoehn KB. (B cells),Blood,T.B cells,LINC02446,2.37710853473407,4.53210068245229e-07
Hoehn KB. (B cells),Blood,T.B cells,NELL2,1.50178724193095,1.8120355082087e-06
Hoehn KB. (B cells),Blood,T.B cells,LEF1,1.59104730098585,1.91983459519413e-06
Hoehn KB. (B cells),Blood,T.B cells,CD3G,1.2350668631456,1.96517094699101e-06
Hoehn KB. (B cells),Blood,T.B cells,CTSW,-1.53490971328406,7.51945170633549e-06
Hoehn KB. (B cells),Blood,T.B cells,DDIT4,1.18429724777662,1.4139806446507e-05
Hoehn KB. (B cells),Blood,T.B cells,RGCC,-1.03902825280393,9.85404486159715e-05
Hoehn KB. (B cells),Blood,T.B cells,INPP4B,1.35929289168928,0.000209030127879463
Hoehn KB. (B cells),Blood,T.B cells,ICOS,1.43521964618961,0.00025326592378844
Hoehn KB. (B cells),Blood,T.B cells,IL32,-1.84855906485306,0.000336226052887612
Hoehn KB. (B cells),Blood,T.B cells,CD28,1.38899894434835,0.000549692933058034
Hoehn KB. (B cells),Blood,T.B cells,AQP3,-0.980390276902762,0.00212856399207484
Hoehn KB. (B cells),Blood,T.B cells,RORA,-0.965073862483518,0.00246143515512303
Hoehn KB. (B cells),Blood,T.B cells,GATA3,-0.944580907774343,0.00826497904597759
Hoehn KB. (B cells),Blood,T.B cells,IFIT2,1.30294018699873,0.00952389652418799
Hoehn KB. (B cells),Blood,T.B cells,TNFRSF25,-0.887596854363475,0.0374329500564277
